,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,y
0,63, Private,301830, Some-college,10, Separated, Priv-house-serv, Not-in-family, White, Female,0,0,70, El-Salvador, <=50K
1,61, Local-gov,71824, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
2,28, Private,214565, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
3,29, Private,169973, HS-grad,9, Separated, Craft-repair, Unmarried, Black, Female,0,0,50, United-States, <=50K
4,46, Local-gov,175067, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
5,40, Private,340489, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
6,20, Private,367787, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
7,47, Private,258120, 11th,7, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
8,50, Private,277332, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, ?, <=50K
9,22, Private,215296, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
10,38, Private,465197, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
11,31, Private,334169, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
12,20, Private,168675, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
13,20, Private,222951, 10th,6, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,49, Mexico, <=50K
14,35, Local-gov,382671, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
15,30, Federal-gov,281033, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
16,50, Local-gov,211060, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,2202,0,60, United-States, <=50K
17,26, Self-emp-not-inc,284423, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
