,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,y
0,23, Private,38897, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
1,34, Private,160490, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
2,48, Private,378323, Bachelors,13, Divorced, Sales, Unmarried, White, Male,0,0,70, United-States, >50K
3,31, Federal-gov,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
4,43, State-gov,79797, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
5,35, ?,89515, Assoc-voc,11, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
6,45, Private,176687, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,0,0,60, United-States, <=50K
7,33, Private,199296, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
8,56, Self-emp-not-inc,213118, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,99, United-States, >50K
9,32, Private,391319, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
10,33, Private,160745, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, France, <=50K
11,46, State-gov,66734, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,1485,50, United-States, >50K
12,29, Private,205385, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
13,55, State-gov,256949, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
14,26, Private,318707, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico, <=50K
